Dataset,Samples,Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,ROC_AUC_Mean,ROC_AUC_Std
Bank Marketing,500,CatBoost,0.894216521066018,0.004089768907291297,0.6159020838241508,0.03526414981891156,0.25160680529300566,0.03923007687395123,0.35644438989510896,0.04358337246490677,0.8879863117636685,0.007590376222372921
Bank Marketing,500,LightGBM,0.8821629990047551,0.002439847903664127,0.4928181123106469,0.02118033044343936,0.24102079395085063,0.009569213956198771,0.32369052201148896,0.012740134827551434,0.8439044380235625,0.01357279934648182
Bank Marketing,500,TabPFN,0.8970253234546057,0.003230077127848276,0.6425540568420745,0.01624138729948467,0.2695652173913043,0.054137424567268264,0.37734601799878054,0.05475966586082232,0.8943082551996714,0.014962353712391517
Bank Marketing,500,XGBoost,0.8839544398982637,0.0042460040289824036,0.5081021001105313,0.031772066514917305,0.2841209829867674,0.015824350042918777,0.364230931451213,0.018965989114190646,0.8425213508788335,0.020425893113655794
Bank Marketing,750,CatBoost,0.8965166427070663,0.002510009679816179,0.6200667405452005,0.012842154799091707,0.2977315689981096,0.039010848929090625,0.40118543103908727,0.03695051199532561,0.8957545871098102,0.0046860559171411995
Bank Marketing,750,LightGBM,0.8889970142651775,0.0035861909159105826,0.5470869494780531,0.028722112643321123,0.29981096408317576,0.022952494721646375,0.3870060682016064,0.023371634467951086,0.8628759263884433,0.004928389819484123
Bank Marketing,750,TabPFN,0.9000110582771204,0.0016539427062473623,0.6403158088221773,0.01422923248515022,0.3319470699432892,0.015054785286109665,0.43706339134067757,0.013977412991114418,0.9078188190759375,0.006299961275368415
Bank Marketing,750,XGBoost,0.8874930885767996,0.00267075135481199,0.5315908175273871,0.01877464303233041,0.32117202268431,0.029719849057433193,0.39992260830128756,0.026318882149127636,0.8595578903260248,0.011249083921724023
Bank Marketing,1000,CatBoost,0.896981090346124,0.0013329696963666382,0.6292297485277782,0.017847694922344504,0.2920604914933837,0.010588542770514197,0.39872724543698573,0.008634907150098303,0.899783975862114,0.003063208956152893
Bank Marketing,1000,LightGBM,0.8912971359062258,0.0012608375816644101,0.5638874000249223,0.011814870196079878,0.3153119092627599,0.024734105457536647,0.4038344977301966,0.019848995974625114,0.8715337713789915,0.003314105612679462
Bank Marketing,1000,TabPFN,0.9000774079398429,0.0014174451128310653,0.643557428421871,0.017723438506840272,0.32835538752362947,0.016020724247189862,0.4345055421831473,0.01262266802426649,0.9165380030847062,0.003385615601211732
Bank Marketing,1000,XGBoost,0.8878248368904125,0.0012328863193337579,0.5340725154443418,0.009781454760827325,0.3253308128544423,0.014785340036492635,0.4041243457392675,0.010808330497213562,0.8628621955391311,0.004644700606164393
Bank Marketing,1500,CatBoost,0.8985292491429835,0.001806260487811106,0.6338132938135121,0.013735835400641225,0.31474480151228723,0.026295704618607838,0.42005073065052806,0.023914270567619127,0.9065146251300582,0.004097323837235554
Bank Marketing,1500,LightGBM,0.8925577794979542,0.0018694703491322804,0.5735631674519667,0.01684506855237111,0.3224952741020794,0.030717609414108938,0.41187159260272066,0.023651394686966126,0.8843870537030089,0.004041386898629058
Bank Marketing,1500,TabPFN,0.9018688488333518,0.0017841220192187394,0.6513122880622534,0.010848255017935807,0.3478260869565217,0.032898495810883034,0.4526207491979461,0.02736800923480408,0.9210564231374281,0.0031378102561471517
Bank Marketing,1500,XGBoost,0.8916067676655978,0.002584421331879608,0.5604864083333779,0.021089162909132573,0.34650283553875233,0.021652659452969902,0.4276434965871546,0.014936627591039617,0.8772373057706263,0.006931348280192149
Bank Marketing,2000,CatBoost,0.901116885989163,0.0012738636074606628,0.646565661138722,0.012265730574865503,0.34177693761814737,0.004258555888872907,0.4471430071120679,0.005265879206240851,0.9108803249949988,0.004562795402078477
