Dataset,Samples,Metric,Model,Mean,Std,N
Adult,1500,Precision,XGBoost,0.6885648256298499,0.013665288451626727,5
Adult,1500,Precision,LightGBM,0.6950364891082442,0.012886737397532709,5
Adult,1500,Precision,CatBoost,0.754620784391301,0.012921292540735116,5
Adult,1500,Precision,TabPFN,0.7405681730085343,0.01628747906508054,5
Adult,1500,Recall,XGBoost,0.6073567151411462,0.010406779350381914,5
Adult,1500,Recall,LightGBM,0.602994011976048,0.015068720469647228,5
Adult,1500,Recall,CatBoost,0.5857142857142856,0.02129493098554927,5
Adult,1500,Recall,TabPFN,0.5863986313088109,0.018616704185475078,5
Adult,1500,F1,XGBoost,0.6452820959714476,0.005794153022854011,5
Adult,1500,F1,LightGBM,0.6455205270803374,0.004737248425313272,5
Adult,1500,F1,CatBoost,0.6591584509725527,0.008551635503573116,5
Adult,1500,F1,TabPFN,0.6541618936940548,0.005624517716574545,5
Adult,1500,ROC_AUC,XGBoost,0.8859473912202127,0.0037714296122419496,5
Adult,1500,ROC_AUC,LightGBM,0.8892502382051746,0.003041549758948096,5
Adult,1500,ROC_AUC,CatBoost,0.906375005914119,0.0018875067304110964,5
Adult,1500,ROC_AUC,TabPFN,0.9043705080754922,0.0018898098335817005,5
Adult,2000,Accuracy,XGBoost,0.842071859965196,0.002289400293154732,5
Adult,2000,Accuracy,LightGBM,0.8460640802538641,0.0025890358599380686,5
Adult,2000,Accuracy,CatBoost,0.8578155389497389,0.0018777701226168476,5
Adult,2000,Accuracy,TabPFN,0.8543351417750026,0.0025734067130671625,5
Adult,2000,Precision,XGBoost,0.6948180116869761,0.009759272151301814,5
Adult,2000,Precision,LightGBM,0.7077977969147241,0.010837642402443289,5
Adult,2000,Precision,CatBoost,0.7612417675599443,0.012440082616129916,5
Adult,2000,Precision,TabPFN,0.7459649734450062,0.012313689484872117,5
Adult,2000,Recall,XGBoost,0.606928999144568,0.008419597812245279,5
Adult,2000,Recall,LightGBM,0.6081266039349872,0.01221202201864359,5
Adult,2000,Recall,CatBoost,0.5919589392643284,0.016222225208308717,5
Adult,2000,Recall,TabPFN,0.593840889649273,0.007654802014773542,5
Adult,2000,F1,XGBoost,0.6478216205115729,0.0036203056028376156,5
Adult,2000,F1,LightGBM,0.654061759990958,0.005988227202219198,5
Adult,2000,F1,CatBoost,0.6657815873775325,0.007248138686360062,5
Adult,2000,F1,TabPFN,0.6611767365099046,0.004304703526043669,5
Adult,2000,ROC_AUC,XGBoost,0.8897609763459414,0.0036677841843323084,5
Adult,2000,ROC_AUC,LightGBM,0.8953134103210616,0.0029596108331707417,5
Adult,2000,ROC_AUC,CatBoost,0.9090803282989359,0.0016616744724804052,5
Adult,2000,ROC_AUC,TabPFN,0.9062952933742642,0.002272008689759255,5
Adult,3000,Accuracy,XGBoost,0.8491554918620124,0.002745395519319854,5
Adult,3000,Accuracy,LightGBM,0.8510799467703961,0.0022267540884313413,5
Adult,3000,Accuracy,CatBoost,0.8606612754631999,0.0018173684939029344,5
Adult,3000,Accuracy,TabPFN,0.8565462176271881,0.002405677531549678,5
Adult,3000,Precision,XGBoost,0.7116567793365796,0.01139116985590466,5
Adult,3000,Precision,LightGBM,0.7230531547105895,0.011512091193071321,5
Adult,3000,Precision,CatBoost,0.7661687604262358,0.0162094895641111,5
Adult,3000,Precision,TabPFN,0.7434008596605748,0.013415497268788022,5
Adult,3000,Recall,XGBoost,0.6222412318220701,0.02066669522117569,5
Adult,3000,Recall,LightGBM,0.6130881094952951,0.023957059854661157,5
Adult,3000,Recall,CatBoost,0.6023096663815227,0.02116092203559046,5
Adult,3000,Recall,TabPFN,0.6123182207014543,0.009900493610117024,5
Adult,3000,F1,XGBoost,0.663684543944578,0.009524967294475427,5
Adult,3000,F1,LightGBM,0.6631814790953249,0.01066758368780815,5
Adult,3000,F1,CatBoost,0.6740278405627698,0.008397302777068922,5
Adult,3000,F1,TabPFN,0.6713817285997545,0.003513253758075867,5
Adult,3000,ROC_AUC,XGBoost,0.8975088579401552,0.003957299431651174,5
Adult,3000,ROC_AUC,LightGBM,0.9030950095886432,0.0023603807074791504,5
Adult,3000,ROC_AUC,CatBoost,0.9111887937603079,0.0018973301922800782,5
Adult,3000,ROC_AUC,TabPFN,0.908425268385888,0.0015965717934235603,5
Adult,4000,Accuracy,XGBoost,0.8501586651653188,0.0034153600116518332,5
Adult,4000,Accuracy,LightGBM,0.854969802436278,0.004461618186462267,5
Adult,4000,Accuracy,CatBoost,0.8622991094277817,0.003180230123978087,5
Adult,4000,Accuracy,TabPFN,0.8572627699866926,0.002488113191101528,5
Adult,4000,Precision,XGBoost,0.7138107210052341,0.010656931360951654,5
Adult,4000,Precision,LightGBM,0.7296711679926926,0.01628279366679752,5
Adult,4000,Precision,CatBoost,0.7643587249194121,0.011879255897757245,5
Adult,4000,Precision,TabPFN,0.7460773700442745,0.008786286731979719,5
Adult,4000,Recall,XGBoost,0.6245508982035928,0.01796763580272787,5
Adult,4000,Recall,LightGBM,0.6266894781864842,0.019028315091051202,5
Adult,4000,Recall,CatBoost,0.6142001710863986,0.013103057041950727,5
Adult,4000,Recall,TabPFN,0.6120615911035072,0.014111387242364085,5
Adult,4000,F1,XGBoost,0.6660331693012358,0.009893797732926847,5
Adult,4000,F1,LightGBM,0.6740184307737067,0.010704260879458081,5
Adult,4000,F1,CatBoost,0.680982433389232,0.008217992461591715,5
Adult,4000,F1,TabPFN,0.6723403929658003,0.007838500097401693,5
Adult,4000,ROC_AUC,XGBoost,0.9017824320215905,0.003906572813326453,5
Adult,4000,ROC_AUC,LightGBM,0.9068048227899699,0.0031945922422340033,5
Adult,4000,ROC_AUC,CatBoost,0.9136306083259974,0.0016829983524132425,5
Adult,4000,ROC_AUC,TabPFN,0.9097692325136911,0.0011140966132702826,5
Adult,6000,Accuracy,XGBoost,0.8549288565871634,0.0020883386599037865,5
Adult,6000,Accuracy,LightGBM,0.8591462790459617,0.0021214435229872644,5
Adult,6000,Accuracy,CatBoost,0.8662708567918926,0.0007187425399341501,5
Adult,6000,Accuracy,TabPFN,0.8594943187634353,0.0016907214922356566,5
Adult,6000,Precision,XGBoost,0.7260935364723353,0.008258126838971586,5
Adult,6000,Precision,LightGBM,0.7381751718363467,0.009735248886149506,5
Adult,6000,Precision,CatBoost,0.7718716788369082,0.006216409539708282,5
Adult,6000,Precision,TabPFN,0.7504216337336962,0.0077754212507272,5
Adult,6000,Recall,XGBoost,0.63267750213858,0.011962291989864695,5
Adult,6000,Recall,LightGBM,0.6379811804961506,0.012686664994659752,5
Adult,6000,Recall,CatBoost,0.626518391787853,0.010009833730454446,5
Adult,6000,Recall,TabPFN,0.6189050470487596,0.011795194382495908,5
Adult,6000,F1,XGBoost,0.6760787766149268,0.005779422048269483,5
Adult,6000,F1,LightGBM,0.6843098599965948,0.0056200320039517995,5
Adult,6000,F1,CatBoost,0.6915648968892875,0.004021447094279437,5
Adult,6000,F1,TabPFN,0.6782515236952517,0.005678317919079837,5
Adult,6000,ROC_AUC,XGBoost,0.9082063394981764,0.002596655980798018,5
Adult,6000,ROC_AUC,LightGBM,0.913573544991452,0.0024567366281086664,5
Adult,6000,ROC_AUC,CatBoost,0.9181897178018378,0.0005156498205939079,5
