Dataset,Metric,Model_A,Model_B,N,Mean_A,Mean_B,Mean_Difference_A_minus_B,Difference_SD,CI95_Low,CI95_High,Wilcoxon_Statistic,Wilcoxon_p,Rank_Biserial_Effect,Significant_p05,Holm_Adjusted_p,Significant_Holm_p05,Direction,Effect_Strength
Credit-G,Accuracy,TabPFN,CatBoost,50,0.7145000000000001,0.7212000000000001,-0.006700000000000006,0.028724767099107335,-0.014662099220682954,0.0012620992206829416,387.0,0.20692799592089683,-0.20404040404040405,False,1.0,False,TabPFN lower,Small
Credit-G,Precision,TabPFN,XGBoost,50,0.7550363509076753,0.762067366386654,-0.007031015478978715,0.025916198032200355,-0.014214619072466508,0.00015258811450907794,448.0,0.10177054779297662,-0.26857142857142857,False,1.0,False,TabPFN lower,Small
Credit-G,Precision,TabPFN,LightGBM,50,0.7550363509076753,0.7531913267577319,0.0018450241499433262,0.0257549746081661,-0.005293890590387538,0.008983938890274192,493.0,0.45244894856388884,0.12588652482269502,False,1.0,False,TabPFN higher,Small
Credit-G,Precision,TabPFN,CatBoost,50,0.7550363509076753,0.754167404363402,0.0008689465442732924,0.022638638126503113,-0.005406163793869545,0.007144056882416131,613.0,0.81837027658068,0.038431372549019606,False,1.0,False,TabPFN higher,Negligible
Credit-G,Recall,TabPFN,XGBoost,50,0.885857142857143,0.8320000000000001,0.053857142857142846,0.08175004314587456,0.031197186987812476,0.07651709872647322,126.0,3.5450641317405374e-06,0.7801418439716312,True,8.153647503003236e-05,True,TabPFN higher,Large
Credit-G,Recall,TabPFN,LightGBM,50,0.885857142857143,0.8717142857142858,0.014142857142857134,0.07586087904576379,-0.006884705721155425,0.03517042000686969,407.0,0.09650965861375702,0.28368794326241137,False,1.0,False,TabPFN higher,Small
Credit-G,Recall,TabPFN,CatBoost,50,0.885857142857143,0.8957142857142858,-0.009857142857142882,0.05483476371749359,-0.025056563898748378,0.0053422781844626125,433.5,0.24222888743397009,-0.20259019426456984,False,1.0,False,TabPFN lower,Small
Credit-G,F1,TabPFN,XGBoost,50,0.8126272842414083,0.7931242799377825,0.019503004303625716,0.028436072429940167,0.01162092716258089,0.027385081444670542,165.0,8.53065594451054e-06,0.7306122448979592,True,0.00017914377483472136,True,TabPFN higher,Large
Credit-G,F1,TabPFN,LightGBM,50,0.8126272842414083,0.8035580672030533,0.009069217038354761,0.02723509569384957,0.0015200336646116188,0.016618400412097903,318.0,0.009235508361338239,0.43617021276595747,True,0.1200616086973971,False,TabPFN higher,Medium
Credit-G,F1,TabPFN,CatBoost,50,0.8126272842414083,0.8181504043815677,-0.0055231201401594165,0.022581477515214422,-0.011782386365205524,0.0007361460848866923,513.0,0.23352895058251377,-0.1952941176470588,False,1.0,False,TabPFN lower,Small
Credit-G,ROC_AUC,TabPFN,XGBoost,50,0.7145904761904761,0.6742488095238095,0.04034166666666666,0.04012987602696826,0.029218232539663526,0.05146510079366979,107.0,1.6183291151605772e-08,0.832156862745098,True,4.3694886109335584e-07,True,TabPFN higher,Large
Credit-G,ROC_AUC,TabPFN,LightGBM,50,0.7145904761904761,0.6397607142857143,0.0748297619047619,0.06453753252963826,0.05694087056280209,0.09271865324672171,58.0,1.4432899320127035e-10,0.9090196078431373,True,4.3298697960381105e-09,True,TabPFN higher,Large
Credit-G,ROC_AUC,TabPFN,CatBoost,50,0.7145904761904761,0.7213380952380953,-0.0067476190476190535,0.0341815195449605,-0.01622225287812787,0.0027270147828897624,564.0,0.4779992100249857,-0.11529411764705882,False,1.0,False,TabPFN lower,Small
