Dataset,Training_Regime,Metric,Comparison,N,TabPFN_Mean,Tree_Mean,Mean_Difference,Difference_SD
Bank Marketing,Medium,Precision,TabPFN vs XGBoost,25,0.6236566748785012,0.4965346214303532,0.127122053448148,0.06200124304261939
Bank Marketing,Medium,Precision,TabPFN vs LightGBM,25,0.6236566748785012,0.501211003270886,0.1224456716076152,0.06604080006241048
Bank Marketing,Medium,Precision,TabPFN vs CatBoost,25,0.6236566748785012,0.6021696864284916,0.021486988450009594,0.0661014528871683
Bank Marketing,Medium,Recall,TabPFN vs XGBoost,25,0.2699810964083175,0.2907372400756143,-0.020756143667296802,0.08103616470893
Bank Marketing,Medium,Recall,TabPFN vs LightGBM,25,0.2699810964083175,0.27323251417769373,-0.0032514177693761847,0.0867787249750675
Bank Marketing,Medium,Recall,TabPFN vs CatBoost,25,0.2699810964083175,0.23353497164461245,0.036446124763705096,0.051901806802101325
Bank Marketing,Medium,F1,TabPFN vs XGBoost,25,0.3652484118845469,0.36549310828288517,-0.00024469639833824,0.0858933249623102
Bank Marketing,Medium,F1,TabPFN vs LightGBM,25,0.3652484118845469,0.35193158892695725,0.01331682295758969,0.09092136288864774
Bank Marketing,Medium,F1,TabPFN vs CatBoost,25,0.3652484118845469,0.3285022976283355,0.036746114256211465,0.053906548277483604
Bank Marketing,Medium,ROC_AUC,TabPFN vs XGBoost,25,0.8906690758783306,0.8363953442951281,0.05427373158320241,0.016530102053839223
Bank Marketing,Medium,ROC_AUC,TabPFN vs LightGBM,25,0.8906690758783306,0.8387789013663378,0.051890174511992626,0.01697134357810166
Bank Marketing,Medium,ROC_AUC,TabPFN vs CatBoost,25,0.8906690758783306,0.8799929215104408,0.01067615436788968,0.010474547538523196
Bank Marketing,Large,Accuracy,TabPFN vs XGBoost,50,0.9089616277783922,0.898277120424638,0.01068450735375428,0.0021941968107363394
Bank Marketing,Large,Accuracy,TabPFN vs LightGBM,50,0.9089616277783922,0.9008691805816652,0.00809244719672675,0.0025860421342989905
Bank Marketing,Large,Accuracy,TabPFN vs CatBoost,50,0.9089616277783922,0.9052327767333849,0.0037288510450071842,0.0016491661988248154
Bank Marketing,Large,Precision,TabPFN vs XGBoost,50,0.6482652121586099,0.5884353764340782,0.05982983572453177,0.021715790206569996
Bank Marketing,Large,Precision,TabPFN vs LightGBM,50,0.6482652121586099,0.609794529976299,0.038470682182311006,0.026511152132204313
Bank Marketing,Large,Precision,TabPFN vs CatBoost,50,0.6482652121586099,0.6450949260217935,0.003170286136816527,0.011322300268622932
Bank Marketing,Large,Recall,TabPFN vs XGBoost,50,0.485765595463138,0.43024574669187143,0.05551984877126654,0.033417041007043895
Bank Marketing,Large,Recall,TabPFN vs LightGBM,50,0.485765595463138,0.41928166351606805,0.06648393194706995,0.027493962174169367
Bank Marketing,Large,Recall,TabPFN vs CatBoost,50,0.485765595463138,0.42145557655954635,0.0643100189035917,0.021213179284720052
