Dataset,Samples,Baseline,Metric,TabPFN_Mean,Baseline_Mean,Difference
Adult,250,LightGBM,ROC_AUC,0.8860939347442723,0.8481842704808965,0.03790966426337583
Adult,250,CatBoost,Accuracy,0.8350905926911659,0.8397379465656669,-0.004647353874500992
Adult,250,CatBoost,Precision,0.7021676779280754,0.7381932350398327,-0.036025557111757256
Adult,250,CatBoost,Recall,0.5497005988023952,0.5220701454234389,0.02763045337895631
Adult,250,CatBoost,F1,0.6134702066857993,0.6076925576076277,0.005777649078171576
Adult,250,CatBoost,ROC_AUC,0.8860939347442723,0.8880727270299357,-0.0019787922856633333
Adult,500,XGBoost,Accuracy,0.8439144231753506,0.8269628416419286,0.016951581533422022
Adult,500,XGBoost,Precision,0.714090813781364,0.6604899339298148,0.053600879851549155
Adult,500,XGBoost,Recall,0.58562874251497,0.5701454234388367,0.015483319076133317
Adult,500,XGBoost,F1,0.6415438871137299,0.6115619900280533,0.029981897085676557
Adult,500,XGBoost,ROC_AUC,0.8954746830233644,0.8686966743599139,0.02677800866345048
Adult,500,LightGBM,Accuracy,0.8439144231753506,0.8279864878697921,0.01592793530555847
Adult,500,LightGBM,Precision,0.714090813781364,0.6674316711340051,0.04665914264735882
Adult,500,LightGBM,Recall,0.58562874251497,0.5631308810949529,0.022497861420017085
Adult,500,LightGBM,F1,0.6415438871137299,0.6101008003915102,0.03144308672221974
Adult,500,LightGBM,ROC_AUC,0.8954746830233644,0.870751403358575,0.024723279664789377
Adult,500,CatBoost,Accuracy,0.8439144231753506,0.848377520728836,-0.004463097553485396
Adult,500,CatBoost,Precision,0.714090813781364,0.7378022948053998,-0.023711481024035863
Adult,500,CatBoost,Recall,0.58562874251497,0.5706586826347305,0.014970059880239472
Adult,500,CatBoost,F1,0.6415438871137299,0.642771978061466,-0.0012280909477361268
Adult,500,CatBoost,ROC_AUC,0.8954746830233644,0.8967675123252544,-0.0012928293018900083
Adult,750,XGBoost,Accuracy,0.8476814412938888,0.8348039717473641,0.012877469546524689
Adult,750,XGBoost,Precision,0.7264213547342248,0.6766715633004787,0.04974979143374603
Adult,750,XGBoost,Recall,0.5848588537211292,0.5937553464499572,-0.008896492728827976
Adult,750,XGBoost,F1,0.6473091749515758,0.6322309652873483,0.01507820966422746
Adult,750,XGBoost,ROC_AUC,0.8987969962376419,0.87485999222502,0.023937004012621887
Adult,750,LightGBM,Accuracy,0.8476814412938888,0.8376701811853824,0.010011260108506392
Adult,750,LightGBM,Precision,0.7264213547342248,0.688197977680946,0.03822337705327872
Adult,750,LightGBM,Recall,0.5848588537211292,0.5890504704875962,-0.004191616766466955
Adult,750,LightGBM,F1,0.6473091749515758,0.6344716705760376,0.012837504375538211
Adult,750,LightGBM,ROC_AUC,0.8987969962376419,0.8799396592937893,0.01885733694385261
Adult,750,CatBoost,Accuracy,0.8476814412938888,0.8513051489405262,-0.003623707646637442
Adult,750,CatBoost,Precision,0.7264213547342248,0.7481578040143121,-0.021736449280087333
Adult,750,CatBoost,Recall,0.5848588537211292,0.5723695466210437,0.012489307100085556
Adult,750,CatBoost,F1,0.6473091749515758,0.6479962792230524,-0.0006871042714765574
Adult,750,CatBoost,ROC_AUC,0.8987969962376419,0.901003938256482,-0.0022069420188400857
Adult,1000,XGBoost,Accuracy,0.846944416009827,0.837117412222336,0.009827003787490907
Adult,1000,XGBoost,Precision,0.7261442503441329,0.6839582079096592,0.04218604243447366
Adult,1000,XGBoost,Recall,0.5792985457656117,0.5954662104362703,-0.016167664670658666
Adult,1000,XGBoost,F1,0.6439909429220736,0.6363095499880022,0.00768139293407144
Adult,1000,XGBoost,ROC_AUC,0.9002820128242275,0.8810246742226949,0.01925733860153256
Adult,1000,LightGBM,Accuracy,0.846944416009827,0.8363189681646024,0.010625447845224567
Adult,1000,LightGBM,Precision,0.7261442503441329,0.6815690301880115,0.044575220156121365
Adult,1000,LightGBM,Recall,0.5792985457656117,0.5940119760479042,-0.01471343028229255
