Accuracy,Precision,Recall,F1,ROC_AUC,Prediction_Time,Model,Samples,Seed,Training_Time
0.71,0.7733333333333333,0.8285714285714286,0.8,0.7852380952380954,0.6548580369999399,TabPFN,250,123,0.6376484960001108
0.735,0.7880794701986755,0.85,0.8178694158075601,0.734047619047619,0.011183980000168958,XGBoost,500,123,0.10514170600072248
0.69,0.7708333333333334,0.7928571428571428,0.7816901408450704,0.7302380952380952,0.012573492000228725,LightGBM,500,123,0.11074858699976176
0.765,0.7924528301886793,0.9,0.842809364548495,0.805,0.010756610000498767,CatBoost,500,123,0.3809243349996905
0.775,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.8061904761904762,0.6655541290001565,TabPFN,500,123,0.6353345099996659
0.755,0.8095238095238095,0.85,0.8292682926829268,0.7427380952380953,0.01049873900046805,XGBoost,750,123,0.12088560499978485
0.81,0.84,0.9,0.8689655172413793,0.7788095238095238,0.012614856000254804,LightGBM,750,123,0.15543133099981787
0.745,0.7870967741935484,0.8714285714285714,0.8271186440677966,0.7683333333333333,0.010241261000373925,CatBoost,750,123,0.40272937400004594
0.75,0.7960526315789473,0.8642857142857143,0.8287671232876712,0.7889285714285714,0.6662934769992717,TabPFN,750,123,0.6390913159993943
0.7,0.7,1.0,0.8235294117647058,0.5920833333333333,0.009517202000097313,XGBoost,10,2024,0.035096024999802466
0.7,0.7,1.0,0.8235294117647058,0.5,0.009500737999587727,LightGBM,10,2024,0.01599990499926207
0.695,0.7257142857142858,0.9071428571428571,0.8063492063492064,0.6026190476190477,0.010916156000348565,CatBoost,10,2024,0.26122707200011064
0.695,0.7135135135135136,0.9428571428571428,0.8123076923076923,0.6432142857142857,0.6456599550001556,TabPFN,10,2024,0.6191046880003341
0.65,0.7243589743589743,0.8071428571428572,0.7635135135135135,0.6063095238095239,0.01036381399990205,XGBoost,20,2024,0.04144311500022013
0.7,0.7,1.0,0.8235294117647058,0.5,0.010345556000174838,LightGBM,20,2024,0.016804934999527177
0.7,0.7247191011235955,0.9214285714285714,0.8113207547169812,0.6270238095238095,0.010839558999578003,CatBoost,20,2024,0.32114323699988745
0.71,0.7157894736842105,0.9714285714285714,0.8242424242424242,0.6783333333333332,0.6524353499999052,TabPFN,20,2024,0.6292008450000139
0.68,0.7375,0.8428571428571429,0.7866666666666666,0.6484523809523809,0.009304089000579552,XGBoost,35,2024,0.0482239800003299
0.7,0.7,1.0,0.8235294117647058,0.5,0.010402464999970107,LightGBM,35,2024,0.017628722999688762
0.7,0.7247191011235955,0.9214285714285714,0.8113207547169812,0.6544047619047619,0.010548985000241373,CatBoost,35,2024,0.33291602799999964
0.69,0.7142857142857143,0.9285714285714286,0.8074534161490683,0.6511904761904762,0.6520372350005346,TabPFN,35,2024,0.828694114999962
0.67,0.7569444444444444,0.7785714285714286,0.7676056338028169,0.5847023809523809,0.00944258199979231,XGBoost,50,2024,0.04618172800019238
0.65,0.7215189873417721,0.8142857142857143,0.7651006711409396,0.5646428571428571,0.010486571999535954,LightGBM,50,2024,0.02509721000024001
0.68,0.7235294117647059,0.8785714285714286,0.7935483870967742,0.6328571428571428,0.0103442850004285,CatBoost,50,2024,0.34593465300076787
0.675,0.7142857142857143,0.8928571428571429,0.7936507936507936,0.6295238095238096,0.6643018049999228,TabPFN,50,2024,0.6240602569996554
0.67,0.7371794871794872,0.8214285714285714,0.777027027027027,0.6513095238095238,0.009359984999719018,XGBoost,75,2024,0.061916024000311154
0.675,0.7388535031847133,0.8285714285714286,0.7811447811447811,0.6732142857142857,0.010161438000068301,LightGBM,75,2024,0.03100420499959
0.73,0.7415730337078652,0.9428571428571428,0.8301886792452831,0.7001190476190475,0.011203670999748283,CatBoost,75,2024,0.3624113129999387
0.705,0.7035175879396985,1.0,0.8259587020648967,0.6714285714285714,0.6562402690005911,TabPFN,75,2024,0.6136115039998913
0.71,0.7662337662337663,0.8428571428571429,0.8027210884353742,0.6920238095238095,0.008736980999856314,XGBoost,100,2024,0.05174366099981853
0.72,0.7837837837837838,0.8285714285714286,0.8055555555555556,0.6707142857142857,0.010055051000563253,LightGBM,100,2024,0.03174973000022874
0.7,0.7409638554216867,0.8785714285714286,0.803921568627451,0.7015476190476191,0.010580510000181675,CatBoost,100,2024,0.34132361599949945
0.725,0.7374301675977654,0.9428571428571428,0.8275862068965517,0.7204761904761905,0.6665695179999602,TabPFN,100,2024,0.60842906400012
0.715,0.782312925170068,0.8214285714285714,0.8013937282229965,0.6822619047619047,0.010238041999400593,XGBoost,150,2024,0.06465724600002432
0.705,0.7793103448275862,0.8071428571428572,0.7929824561403509,0.6646428571428572,0.011517286000525928,LightGBM,150,2024,0.041850339000120584
0.73,0.7529411764705882,0.9142857142857143,0.8258064516129032,0.720952380952381,0.011153876000207674,CatBoost,150,2024,0.35257374799948593
0.72,0.7441860465116279,0.9142857142857143,0.8205128205128205,0.7598809523809524,0.6539091330005249,TabPFN,150,2024,0.6538910019999093
0.735,0.8,0.8285714285714286,0.8140350877192982,0.6869047619047619,0.01020025700017868,XGBoost,250,2024,0.08413511999970069
0.705,0.7718120805369127,0.8214285714285714,0.7958477508650519,0.6883333333333334,0.012487845999203273,LightGBM,250,2024,0.06032684199999494
0.75,0.774390243902439,0.9071428571428571,0.8355263157894737,0.7457142857142857,0.010413074000098277,CatBoost,250,2024,0.38062839500071277
0.74,0.7857142857142857,0.8642857142857143,0.8231292517006803,0.7657142857142858,0.6591259460001311,TabPFN,250,2024,0.6551745570004641
0.74,0.7933333333333333,0.85,0.8206896551724138,0.7586904761904761,0.010382905999904324,XGBoost,500,2024,0.1066286740006035
0.725,0.785234899328859,0.8357142857142857,0.8096885813148789,0.7554761904761906,0.013243742000668135,LightGBM,500,2024,0.12413971200021479
0.735,0.7806451612903226,0.8642857142857143,0.8203389830508474,0.7604761904761905,0.010745987000518653,CatBoost,500,2024,0.39151674799995817
0.765,0.8163265306122449,0.8571428571428571,0.8362369337979094,0.7930952380952381,0.6736842740001521,TabPFN,500,2024,0.65216036000038
